reference,ref_n,ref_ids
"Anderson et al 2014 Ibis 156, 23–34",1,REF001
"Anderson et al 2014 Ibis 156, 23–39",1,REF001
"Anderson et al 2014 Ibis 156, 23–40",1,REF001
"Anderson et al 2014 Ibis 156, 23–41",1,REF001
"Anderson et al 2014 Ibis 156, 23–42",1,REF001
"Bailey et al 1991 ICES Mar. Sci. Symp., 193, 209–216.",1,REF002
"Bailey et al 1991 ICES Mar. Sci. Symp., 193, 209–216; Furness 1990 Ibis 132, 205–217",2,REF002; REF021
"Baker et 1999 JNCC Report 289, 1–51",1,REF003
"Blake BF 1984 J. Exp. Mar.Biol. Ecol. 76, 89-103",1,REF004
"Blake 1984 J Exp Mar Biol Ecol 76,89-103",1,REF004
"Blake et al 1955 Estuarine, Coastal & Shelf Science 20, 559-568",1,REF005
Blake et al 1980 Unpubl NCC Report,1,REF006
"Blake et al 1985 Estuarine, Coastal & Shelf Science 20, 559-568",1,REF007
"Blake et al 1995 Estuarine, Coastal & Shelf Science 20, 559-568",1,REF007
"Bull et al 2004 Ardea 92, 43–52",1,REF010
"Bull et al 2004 Ardea 92, 43–52 & Bull  et al 2001 JNCC Report, No. 303, Daunt & Wanless IMLOT 1973-2014",3,REF010; REF008; REF016
Camphuysen & van Franeker 1996 Sula 10: 143-150,1,REF011
"Chivers 2012 Bird Study 59, 363–367",1,REF012
"Chivers et al 2012 Bird Study 39, 67-73",1,REF013
"Corkhill 1973 Bird Study 20,207-220",1,REF014
"Coulson 1985 Journal of Animal Ecology 54, 9–26",1,REF015
Daunt & Wanless IMLOT 1973-2014,1,REF016
Daunt & Wanless IMLOT 1973-2015,1,REF016
Daunt & Wanless IMLOT 1973-2016,1,REF016
Daunt & Wanless IMLOT 1973-2017,1,REF016
Daunt & Wanless IMLOT 1973-2018,1,REF016
Daunt & Wanless IMLOT 1973-2019,1,REF016
Daunt & Wanless IMLOT 1973-2020,1,REF016
Daunt & Wanless IMLOT 1973-2021,1,REF016
Daunt & Wanless IMLOT 1973-2022,1,REF016
Daunt & Wanless IMLOT 1973-2023,1,REF016
Daunt & Wanless IMLOT 1973-2024,1,REF016
Daunt & Wanless IMLOT 1973-2025,1,REF016
Daunt & Wanless IMLOT 1973-2026,1,REF016
Daunt & Wanless IMLOT 1973-2027,1,REF016
Daunt & Wanless IMLOT 1973-2028,1,REF016
Daunt & Wanless IMLOT 1973-2029,1,REF016
Daunt & Wanless IMLOT 1973-2030,1,REF016
Daunt & Wanless IMLOT 1973-2031,1,REF016
Daunt & Wanless IMLOT 1973-2032,1,REF016
Daunt & Wanless IMLOT 1973-2033,1,REF016
Daunt & Wanless IMLOT 1973-2034,1,REF016
Daunt & Wanless IMLOT 1973-2035,1,REF016
Daunt & Wanless IMLOT 1973-2036,1,REF016
Daunt & Wanless IMLOT 1973-2037,1,REF016
