names,rename,pattern
id,id,FALSE
common_name,pred_common_name,FALSE
species,pred_species,FALSE
year,year,FALSE
startyear,startyear,FALSE
endyear,endyear,FALSE
location,location,FALSE
latitude,latitude,FALSE
longitude,longitude,FALSE
breeding_status,pred_breeding_status,FALSE
age_group,pred_age_group,FALSE
prey_type,prey_orig_descr,FALSE
prey_species,prey_taxon,FALSE
fo_o,freq_occ,FALSE
num_freq,freq_num,FALSE
freq_biomass,freq_biomass,FALSE
prey_size,prey_size,FALSE
sd,prey_sd,FALSE
sample_size,sample_size,FALSE
sample_type,sample_type,FALSE
source,source,FALSE
notes,notes,FALSE
prey_aphia_id,prey_aphia_id,FALSE
prey_valid_name,prey_valid_name,FALSE
prey_valid_aphia_id,prey_valid_aphia_id,FALSE
pred_aphia_id,pred_aphia_id,FALSE
pred_valid_name,pred_valid_name,FALSE
pred_valid_aphia_id,pred_valid_aphia_id,FALSE
ref_n,ref_n,FALSE
ref_ids,ref_ids,FALSE
prey_age_group,prey_age_group,NA
prey_base_rank,prey_base_rank,NA
