"reference","rename","multi"
"Anderson et al 2014 Ibis 156, 23–34","Anderson et al 2014 Ibis 156, 23–34","false"
"Anderson et al 2014 Ibis 156, 23–39","Anderson et al 2014 Ibis 156, 23–34","false"
"Anderson et al 2014 Ibis 156, 23–40","Anderson et al 2014 Ibis 156, 23–34","false"
"Anderson et al 2014 Ibis 156, 23–41","Anderson et al 2014 Ibis 156, 23–34","false"
"Anderson et al 2014 Ibis 156, 23–42","Anderson et al 2014 Ibis 156, 23–34","false"
"Bailey et al 1991 ICES Mar. Sci. Symp., 193, 209–216.","Bailey et al 1991 ICES Mar. Sci. Symp., 193, 209–216","false"
"Bailey et al 1991 ICES Mar. Sci. Symp., 193, 209–216; Furness 1990 Ibis 132, 205–217","Bailey et al 1991 ICES Mar. Sci. Symp., 193, 209–216; Furness 1990 Ibis 132, 205-217","false"
"Baker et 1999 JNCC Report 289, 1–51","Baker et 1999 JNCC Report 289, 1–51","false"
"Blake BF 1984 J. Exp. Mar.Biol. Ecol. 76, 89-103","Blake BF 1984 J. Experimental. Mar.Biol. Ecol. 76, 89-103","false"
"Blake 1984 J Exp Mar Biol Ecol 76,89-103","Blake BF 1984 J. Experimental. Mar.Biol. Ecol. 76, 89-103","false"
"Blake et al 1955 Estuarine, Coastal & Shelf Science 20, 559-568","Blake et al 1955 Estuarine, Coastal & Shelf Science 20, 559-568","false"
"Blake et al 1980 Unpubl NCC Report","Blake et al 1980 Unpubl NCC Report","false"
"Blake et al 1985 Estuarine, Coastal & Shelf Science 20, 559-568","Blake et al 1985 Estuarine, Coastal & Shelf Science 20, 559-568","false"
"Blake et al 1995 Estuarine, Coastal & Shelf Science 20, 559-568","Blake et al 1985 Estuarine, Coastal & Shelf Science 20, 559-568","false"
"Bull et al 2004 Ardea 92, 43–52","Bull et al 2004 Ardea 92, 43–52","false"
"Bull et al 2004 Ardea 92, 43–52 & Bull  et al 2001 JNCC Report, No. 303, Daunt & Wanless IMLOT 1973-2014","Bull et al 2004 Ardea 92, 43–52; Bull  et al 2001 JNCC Report, No. 303; Daunt & Wanless IMLOT 1973-2014","false"
"Camphuysen & van Franeker 1996 Sula 10: 143-150","Camphuysen & van Franeker 1996 Sula 10: 143-150","false"
"Chivers 2012 Bird Study 59, 363–367","Chivers 2012 Bird Study 59, 363–367","false"
"Chivers et al 2012 Bird Study 39, 67-73","Chivers et al 2012 Bird Study 59, 67-73","false"
"Corkhill 1973 Bird Study 20,207-220","Corkhill 1973 Bird Study 20,207-220","false"
"Coulson 1985 Journal of Animal Ecology 54, 9–26","Coulson 1985 Journal of Animal Ecology 54, 9–26","false"
"Daunt & Wanless IMLOT 1973-2014","Daunt & Wanless IMLOT 1973-2014","false"
"Daunt & Wanless IMLOT 1973-2015","Daunt & Wanless IMLOT 1973-2014","false"
"Daunt & Wanless IMLOT 1973-2016","Daunt & Wanless IMLOT 1973-2014","false"
"Daunt & Wanless IMLOT 1973-2017","Daunt & Wanless IMLOT 1973-2014","false"
"Daunt & Wanless IMLOT 1973-2018","Daunt & Wanless IMLOT 1973-2014","false"
"Daunt & Wanless IMLOT 1973-2019","Daunt & Wanless IMLOT 1973-2014","false"
"Daunt & Wanless IMLOT 1973-2020","Daunt & Wanless IMLOT 1973-2014","false"
"Daunt & Wanless IMLOT 1973-2021","Daunt & Wanless IMLOT 1973-2014","false"
"Daunt & Wanless IMLOT 1973-2022","Daunt & Wanless IMLOT 1973-2014","false"
"Daunt & Wanless IMLOT 1973-2023","Daunt & Wanless IMLOT 1973-2014","false"
"Daunt & Wanless IMLOT 1973-2024","Daunt & Wanless IMLOT 1973-2014","false"
"Daunt & Wanless IMLOT 1973-2025","Daunt & Wanless IMLOT 1973-2014","false"
"Daunt & Wanless IMLOT 1973-2026","Daunt & Wanless IMLOT 1973-2014","false"
"Daunt & Wanless IMLOT 1973-2027","Daunt & Wanless IMLOT 1973-2014","false"
"Daunt & Wanless IMLOT 1973-2028","Daunt & Wanless IMLOT 1973-2014","false"
