attributeName,attributeDefinition,columnClasses,numberType,unit,minimum,maximum,formatString,definition,code,levels
common_name,Common name of the seabird predator,character,NA,NA,NA,NA,NA,NA,NA,NA
species,Scientific name of the seabird (predator) species ,character,NA,NA,NA,NA,NA,NA,NA,NA
year,Year or range of years the diet samples were taken,character,NA,NA,NA,NA,NA,NA,NA,NA
startyear,Year or start of range of years the diet samples were taken,numeric,NA,NA,NA,NA,NA,NA,NA,NA
endyear,Year or end of range of years the diet samples were taken,numeric,NA,NA,NA,NA,NA,NA,NA,NA
location,"Location where diet samples were taken, typically at a breeding colony",character,NA,NA,NA,NA,NA,NA,NA,NA
latitude,location latitude,numeric,NA,degrees,NA,NA,NA,NA,NA,NA
longitude,location longitude,numeric,NA,degrees,NA,NA,NA,NA,NA,NA
breeding_status,whether diets were sampled during the Breeding season or the Non-breeding season,factor,NA,NA,NA,NA,NA,NA,NA,NA
age_group,whether the diet samples were collected from Adult or Chick.,factor,NA,NA,NA,NA,NA,NA,NA,NA
prey_type,terms used by the study?,character,NA,NA,NA,NA,NA,NA,NA,NA
prey_species,Prey indentity. Matched to the lowest possible taxonomic level.,character,NA,NA,NA,NA,NA,NA,NA,NA
fo_o,frequency of occurrence of a prey.species in diet samples of a given study.,numeric,NA,NA,0,1,NA,NA,NA,NA
num_freq,Frequency of prey.species across all recorded prey items,numeric,NA,NA,0,1,NA,NA,NA,NA
freq_biomass,prey.speciesbiomass as a proportion of the total biomass/volume/energy (Where biomass of all prey.species available),character,NA,NA,0,1,NA,NA,NA,NA
prey_size,average prey size ,character,NA,mm,NA,NA,NA,NA,NA,NA
sd,NA,logical,NA,NA,NA,NA,NA,NA,NA,NA
sample_size,the number of samples in a study has examined,character,NA,NA,NA,NA,NA,NA,NA,NA
sample_type,methods to assess diet,factor,NA,NA,NA,NA,NA,NA,NA,NA
source,peer-reviewed literature (Primary Literature) or unpublished reports /  contributed data (Report),factor,NA,NA,NA,NA,NA,NA,NA,NA
reference,reference,character,NA,NA,NA,NA,NA,For each entry we give the reference (for Primary Literature: author(s) year journal volume startpage endpage; current format needs corrected) or names and contact details (to be added) for who provided the data.,NA,NA
notes,notes,character,NA,NA,NA,NA,NA,NA,NA,NA
