id,pred_common_name,pred_species,year,startyear,endyear,multiyear,location,latitude,longitude,pred_breeding_status,pred_age_group,prey_orig_descr,prey_taxon,freq_occ,freq_num,freq_biomass,prey_size,sample_size,sample_type,source,notes,prey_age_group,pred_rank,pred_aphia_id,pred_valid_name,pred_valid_aphia_id,prey_rank,prey_aphia_id,prey_valid_name,prey_valid_aphia_id,ref_n,ref_ids
1,Atlantic puffin,Fratercula arctica,1973,1973,1973,FALSE,Co. Kerry,52.17,-9.75,breeding,adult,sandeel,Ammodytidae,0.192,NA,NA,NA,78,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125516,Ammodytidae,125516,1,REF028
2,Atlantic puffin,Fratercula arctica,1973,1973,1973,FALSE,Co. Kerry,52.17,-9.75,breeding,adult,rockling,Gaidropsarus,0,NA,NA,NA,78,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,genus,125743,Gaidropsarus,125743,1,REF028
3,Atlantic puffin,Fratercula arctica,1973,1973,1973,FALSE,Co. Kerry,52.17,-9.75,breeding,adult,haddock,Melanogrammus aeglefinus,0,NA,NA,NA,78,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126437,Melanogrammus aeglefinus,126437,1,REF028
4,Atlantic puffin,Fratercula arctica,1973,1973,1973,FALSE,Co. Kerry,52.17,-9.75,breeding,adult,whiting,Merlangius merlangus,0,NA,NA,NA,78,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126438,Merlangius merlangus,126438,1,REF028
5,Atlantic puffin,Fratercula arctica,1973,1973,1973,FALSE,Co. Kerry,52.17,-9.75,breeding,adult,other,other,0.038,NA,NA,NA,78,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,NA,NA,NA,NA,1,REF028
6,Atlantic puffin,Fratercula arctica,1973,1973,1973,FALSE,Co. Kerry,52.17,-9.75,breeding,adult,saithe,Pollachius virens,0,NA,NA,NA,78,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126441,Pollachius virens,126441,1,REF028
7,Atlantic puffin,Fratercula arctica,1973,1973,1973,FALSE,Co. Kerry,52.17,-9.75,breeding,adult,sprat,Sprattus sprattus,0.769,NA,NA,NA,78,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126425,Sprattus sprattus,126425,1,REF028
8,Atlantic puffin,Fratercula arctica,1983,1983,1983,FALSE,East Anglia,52.5,1,non-breeding,adult,sandeel,Ammodytidae,0.89,NA,NA,NA,30,stomach dead,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125516,Ammodytidae,125516,1,REF004
9,Atlantic puffin,Fratercula arctica,1983,1983,1983,FALSE,East Anglia,52.5,1,non-breeding,adult,clupeidae,Clupeidae,0.33,NA,NA,NA,30,stomach dead,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125464,Clupeidae,125464,1,REF004
10,Atlantic puffin,Fratercula arctica,1983,1983,1983,FALSE,East Anglia,52.5,1,non-breeding,adult,polychaeta,Polychaeta,0.11,NA,NA,NA,30,stomach dead,primary literature,NA,NA,species,137131,Fratercula arctica,137131,class,883,Polychaeta,883,1,REF004
11,Atlantic puffin,Fratercula arctica,1974,1974,1974,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sandeel,Ammodytidae,0.745,NA,NA,NA,47,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,family,125516,Ammodytidae,125516,1,REF028
12,Atlantic puffin,Fratercula arctica,1974,1974,1974,FALSE,Fair Isle,59.56,-1.63,breeding,adult,rockling,Gaidropsarus,0,NA,NA,NA,47,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,genus,125743,Gaidropsarus,125743,1,REF028
13,Atlantic puffin,Fratercula arctica,1974,1974,1974,FALSE,Fair Isle,59.56,-1.63,breeding,adult,haddock,Melanogrammus aeglefinus,0,NA,NA,NA,47,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126437,Melanogrammus aeglefinus,126437,1,REF028
14,Atlantic puffin,Fratercula arctica,1974,1974,1974,FALSE,Fair Isle,59.56,-1.63,breeding,adult,whiting,Merlangius merlangus,0.255,NA,NA,NA,47,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126438,Merlangius merlangus,126438,1,REF028
15,Atlantic puffin,Fratercula arctica,1974,1974,1974,FALSE,Fair Isle,59.56,-1.63,breeding,adult,other,other,0,NA,NA,NA,47,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,NA,NA,NA,NA,1,REF028
16,Atlantic puffin,Fratercula arctica,1974,1974,1974,FALSE,Fair Isle,59.56,-1.63,breeding,adult,saithe,Pollachius virens,0,NA,NA,NA,47,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126441,Pollachius virens,126441,1,REF028
17,Atlantic puffin,Fratercula arctica,1974,1974,1974,FALSE,Fair Isle,59.56,-1.63,breeding,adult,sprat,Sprattus sprattus,0,NA,NA,NA,47,vis obs,primary literature,NA,NA,species,137131,Fratercula arctica,137131,species,126425,Sprattus sprattus,126425,1,REF028
