phylum,subphylum,class,order,family,genus,species
Annelida,NA,Polychaeta,Phyllodocida,Aphroditidae,Aphrodita,Aphrodita aculeata
Annelida,NA,Polychaeta,Phyllodocida,Nereididae,NA,NA
Annelida,NA,Polychaeta,NA,NA,NA,NA
Annelida,NA,NA,NA,NA,NA,NA
Arthropoda,Crustacea,Hexanauplia,Siphonostomatoida,Caligidae,Caligus,Caligus coryphaenae
Arthropoda,Crustacea,Malacostraca,Amphipoda,Hyperiidae,Hyperia,Hyperia galba
Arthropoda,Crustacea,Malacostraca,Amphipoda,Talitridae,Orchestia,Orchestia gammarellus
Arthropoda,Crustacea,Malacostraca,Amphipoda,Tryphosidae,Hippomedon,Hippomedon denticulatus
Arthropoda,Crustacea,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra pelagica
Arthropoda,Crustacea,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,NA
Arthropoda,Crustacea,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon crangon
Arthropoda,Crustacea,Malacostraca,Decapoda,Munididae,Munida,Munida intermedia
Arthropoda,Crustacea,Malacostraca,Decapoda,Nephropidae,Nephrops,Nephrops norvegicus
Arthropoda,Crustacea,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus bernhardus
Arthropoda,Crustacea,Malacostraca,Decapoda,Pandalidae,Pandalus,Pandalus borealis
Arthropoda,Crustacea,Malacostraca,Decapoda,Pandalidae,Pandalus,Pandalus montagui
Arthropoda,Crustacea,Malacostraca,Decapoda,Pasiphaeidae,Parapasiphae,Parapasiphae sulcatifrons
Arthropoda,Crustacea,Malacostraca,Decapoda,Polybiidae,Liocarcinus,NA
Arthropoda,Crustacea,Malacostraca,Decapoda,NA,NA,NA
Arthropoda,Crustacea,Malacostraca,Euphausiacea,Euphausiidae,Meganyctiphanes,Meganyctiphanes norvegica
Arthropoda,Crustacea,Malacostraca,Euphausiacea,NA,NA,NA
Arthropoda,Crustacea,Malacostraca,Isopoda,Cirolanidae,Eurydice,Eurydice pulchra
Arthropoda,Crustacea,Malacostraca,Isopoda,Cirolanidae,Eurydice,NA
Arthropoda,Crustacea,Malacostraca,Isopoda,Idoteidae,Idotea,Idotea metallica
Arthropoda,Crustacea,Malacostraca,Isopoda,NA,NA,NA
