Common name,Species,Year,Startyear,Endyear,Location,Latitude,Longitude,Breeding status,Age Group,Prey.type,Prey.species,FoO,Num Freq,Freq Biomass,Prey size,SD,Sample.size,Sample.type,Source,Reference,Notes
Atlantic puffin,Fratercula arctica,1961-1963,1961,1963,Farne Islands,55.6167,-1.6483,Breeding,Adult,,Ammodytidae,0.85,,,,,52,Discard,Primary literature,Pearson 1968 J Anim Ecol 37: 521-552,
Atlantic puffin,Fratercula arctica,1961-1963,1961,1963,Farne Islands,55.6167,-1.6483,Breeding,Adult,,Clupeidae,0.02,,,,,52,Discard,Primary literature,Pearson 1968 J Anim Ecol 37: 521-552,
Atlantic puffin,Fratercula arctica,1961-1963,1961,1963,Farne Islands,55.6167,-1.6483,Breeding,Adult,Stickleback,Gasterosteidae,0.01,,,,,52,Discard,Primary literature,Pearson 1968 J Anim Ecol 37: 521-552,
Atlantic puffin,Fratercula arctica,1961-1963,1961,1963,Farne Islands,55.6167,-1.6483,Breeding,Adult,Weeverfish,Trachinidae,0.12,,,,,52,Discard,Primary literature,Pearson 1968 J Anim Ecol 37: 521-552,
Atlantic puffin,Fratercula arctica,1975,1975,1975,Farne Islands,55.6167,-1.6483,Breeding,Adult,,Nereididae,0.455,,,,,9,Stomach dead,Primary literature,Harris & Hislop 1978 J Zool 185: 213-236.,
Atlantic puffin,Fratercula arctica,1975,1975,1975,Farne Islands,55.6167,-1.6483,Breeding,Adult,,Ammodytidae,0.545,,,,,9,Stomach dead,Primary literature,Harris & Hislop 1978 J Zool 185: 213-236.,
Atlantic puffin,Fratercula arctica,1983,1983,1983,East Anglia,52.5,1,Non-breeding,Adult,Clupeidae,Clupeidae,0.33,,,,,30,Stomach dead,Primary literature,"Blake BF 1984 J. Exp. Mar.Biol. Ecol. 76, 89-103",
Atlantic puffin,Fratercula arctica,1983,1983,1983,East Anglia,52.5,1,Non-breeding,Adult,Sandeel,Ammodytidae,0.89,,,,,30,Stomach dead,Primary literature,"Blake BF 1984 J. Exp. Mar.Biol. Ecol. 76, 89-103",
Atlantic puffin,Fratercula arctica,1983,1983,1983,East Anglia,52.5,1,Non-breeding,Adult,Polycheates,Polychaeta,0.11,,,,,30,Stomach dead,Primary literature,"Blake BF 1984 J. Exp. Mar.Biol. Ecol. 76, 89-103",
Atlantic puffin,Fratercula arctica,1973,1973,1973,Isle of May,56.19,-2.56,Breeding,Adult,Sandeel 0-group,,0.86,,,,,NA,vis obs,Report,Daunt & Wanless IMLOT 1973-2014,
