phylum_prey	class_prey	order_prey	family_prey	genus_prey	species_prey
Chordata	Actinopterygii	Pleuronectiformes	Bothidae	Arnoglossus	Arnoglossus laterna
Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Hippoglossoides	Hippoglossoides platessoides
Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Pleuronectes 	Pleuronectes platessa
Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Microstomus	Microstomus kitt
Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Limanda 	Limanda limanda
Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Limanda 	
Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae		
Chordata	Actinopterygii	Pleuronectiformes	Scophthalmidae	Phrynorhombus	Phrynorhombus norvegicus
Chordata	Actinopterygii	Pleuronectiformes			
Chordata	Actinopterygii	Perciformes	Ammodytidae	Ammodytes	Ammodytes marinus
Chordata	Actinopterygii	Perciformes	Ammodytidae	Ammodytes	Ammodytes hexapterus
Chordata	Actinopterygii	Perciformes	Ammodytidae	Ammodytes	Ammodytes americanus
Chordata	Actinopterygii	Perciformes	Ammodytidae	Ammodytes	Ammodytes tobianus
Chordata	Actinopterygii	Perciformes	Ammodytidae	Ammodytes	Ammodytes lanceolatus
Chordata	Actinopterygii	Perciformes	Ammodytidae	Hyperoplus	Hyperoplus lanceolatus
Chordata	Actinopterygii	Perciformes	Ammodytidae	Hyperoplus	Hyperoplus immaculatus
Chordata	Actinopterygii	Perciformes	Ammodytidae	Gymnoammodytes	Gymnoammodytes semisquamatus
Chordata	Actinopterygii	Perciformes	Ammodytidae		
Chordata	Actinopterygii	Perciformes	Gobiidae	Gobius	Gobius niger
Chordata	Actinopterygii	Perciformes	Gobiidae	Gobius	
Chordata	Actinopterygii	Perciformes	Gobiidae	Crystallogobius	Crystallogobius linearis
Chordata	Actinopterygii	Perciformes	Gobiidae	Gobiusculus 	Gobiusculus flavescens
Chordata	Actinopterygii	Perciformes	Gobiidae	Pomatoschistus	Pomatoschistus minutus
Chordata	Actinopterygii	Perciformes	Gobiidae	Pomatoschistus	Pomatoschistus microps
Chordata	Actinopterygii	Perciformes	Gobiidae	Pomatoschistus	Pomatoschistus pictus
Chordata	Actinopterygii	Perciformes	Gobiidae	Aphia	Aphia minuta
Chordata	Actinopterygii	Perciformes	Gobiidae		
Chordata	Actinopterygii	Perciformes	Labridae	Labrus	Labrus mixtus
Chordata	Actinopterygii	Perciformes	Labridae	Labrus	Labrus bergylta
Chordata	Actinopterygii	Perciformes	Labridae	Labrus	
Chordata	Actinopterygii	Perciformes	Labridae	Ctenolabrus	Ctenolabrus rupestris
Chordata	Actinopterygii	Perciformes	Labridae	Symphodus	Symphodus melops
Chordata	Actinopterygii	Perciformes	Labridae	Coris	Coris julis
Chordata	Actinopterygii	Perciformes	Labridae		
Chordata	Actinopterygii	Perciformes	Zoarcidae	Lycodes	
Chordata	Actinopterygii	Perciformes	Zoarcidae	Gymnelus	Gymnelus viridis
Chordata	Actinopterygii	Perciformes	Zoarcidae	Eumesogrammus 	Eumesogrammus praecisus
Chordata	Actinopterygii	Perciformes	Zoarcidae	Zoarces	Zoarces viviparus
Chordata	Actinopterygii	Perciformes	Stichaeidae	Anisarchus	Anisarchus medius
Chordata	Actinopterygii	Perciformes	Stichaeidae	Lumpenus	Lumpenus lampretaeformis
Chordata	Actinopterygii	Perciformes	Stichaeidae	Leptoclinus 	Leptoclinus maculatus
Chordata	Actinopterygii	Perciformes	Pholidae	Pholis	Pholis gunnellus
Chordata	Actinopterygii	Perciformes	Pholidae		
Chordata	Actinopterygii	Perciformes	Stromateidae	Peprilus	Peprilus triacanthus
Chordata	Actinopterygii	Perciformes	Scombridae	Scomber	Scomber scombrus
Chordata	Actinopterygii	Perciformes	Anarhichadidae	Anarhichas 	Anarhichas lupus
Chordata	Actinopterygii	Perciformes	Callionymidae	Callionymus	Callionymus lyra
Chordata	Actinopterygii	Perciformes	Callionymidae	Callionymus	Callionymus maculatus
Chordata	Actinopterygii	Perciformes	Callionymidae	Callionymus	
Chordata	Actinopterygii	Perciformes	Callionymidae		
Chordata	Actinopterygii	Perciformes	Carangidae	Trachurus	Trachurus trachurus
Chordata	Actinopterygii	Perciformes	Carangidae		
Chordata	Actinopterygii	Perciformes	Trachinidae	Echiichthys	Echiichthys vipera
Chordata	Actinopterygii	Perciformes	Trachinidae		
Chordata	Actinopterygii	Perciformes	Blenniidae		
Chordata	Actinopterygii	Perciformes	Sparidae	Diplodus	Diplodus sargus
Chordata	Actinopterygii	Perciformes	Mugilidae		
Chordata	Actinopterygii	Gadiformes	Gadidae	Boregadus	Boreogadus saida
Chordata	Actinopterygii	Gadiformes	Gadidae	Pollachius	Pollachius virens
Chordata	Actinopterygii	Gadiformes	Gadidae	Pollachius	Pollachius pollachius
Chordata	Actinopterygii	Gadiformes	Gadidae	Pollachius	
Chordata	Actinopterygii	Gadiformes	Gadidae	Trisopterus	Trisopterus minutus
Chordata	Actinopterygii	Gadiformes	Gadidae	Trisopterus	Trisopterus esmarkii
Chordata	Actinopterygii	Gadiformes	Gadidae	Trisopterus	Trisopterus luscus
Chordata	Actinopterygii	Gadiformes	Gadidae	Trisopterus	
Chordata	Actinopterygii	Gadiformes	Gadidae	Merlangius	Merlangius merlangus
Chordata	Actinopterygii	Gadiformes	Gadidae	Gadus	Gadus morhua
Chordata	Actinopterygii	Gadiformes	Gadidae	Micromesistius	Micromesistius poutassou
Chordata	Actinopterygii	Gadiformes	Gadidae	Melanogrammus 	Melanogrammus aeglefinus
Chordata	Actinopterygii	Gadiformes	Gadidae	Gadiculus 	Gadiculus argenteus
Chordata	Actinopterygii	Gadiformes	Gadidae	Raniceps	Raniceps raninus
Chordata	Actinopterygii	Gadiformes	Gadidae		
Chordata	Actinopterygii	Gadiformes	Lotidae	Gaidropsarus	Gaidropsarus vulgaris
Chordata	Actinopterygii	Gadiformes	Lotidae	Gaidropsarus	Gaidropsarus mediterraneus
Chordata	Actinopterygii	Gadiformes	Lotidae	Gaidropsarus	
Chordata	Actinopterygii	Gadiformes	Lotidae	Ciliata	Ciliata mustela
Chordata	Actinopterygii	Gadiformes	Lotidae	Enchelyopus 	Enchelyopus cimbrius
Chordata	Actinopterygii	Gadiformes	Lotidae		
