id,year,startyear,endyear,location,latitude,longitude,pred_common_name,pred_species,pred_breeding_status,pred_age_group,pred_aphia_id,pred_valid_name,pred_valid_aphia_id,prey_orig_descr,prey_taxon,prey_size,prey_sd,prey_age_group,prey_aphia_id,prey_valid_name,prey_valid_aphia_id,freq_occ,freq_num,freq_biomass,sample_size,sample_type,ref_n,ref_ids,source,notes
1,1961-1963,1961,1963,Farne Islands,55.6167,-1.6483,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,NA,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.85,NA,NA,52,discard,1,REF061,primary literature,NA
1,1961-1963,1961,1963,Farne Islands,55.6167,-1.6483,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,NA,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.85,NA,NA,52,discard,1,REF061,primary literature,NA
2,1961-1963,1961,1963,Farne Islands,55.6167,-1.6483,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,NA,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.02,NA,NA,52,discard,1,REF061,primary literature,NA
2,1961-1963,1961,1963,Farne Islands,55.6167,-1.6483,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,NA,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.02,NA,NA,52,discard,1,REF061,primary literature,NA
3,1961-1963,1961,1963,Farne Islands,55.6167,-1.6483,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,stickleback,Gasterosteidae,NA,NA,NA,125476,Gasterosteidae,125476,0.01,NA,NA,52,discard,1,REF061,primary literature,NA
3,1961-1963,1961,1963,Farne Islands,55.6167,-1.6483,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,stickleback,Gasterosteidae,NA,NA,NA,125476,Gasterosteidae,125476,0.01,NA,NA,52,discard,1,REF061,primary literature,NA
4,1961-1963,1961,1963,Farne Islands,55.6167,-1.6483,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,weeverfish,Trachinidae,NA,NA,NA,125570,Trachinidae,125570,0.12,NA,NA,52,discard,1,REF061,primary literature,NA
4,1961-1963,1961,1963,Farne Islands,55.6167,-1.6483,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,weeverfish,Trachinidae,NA,NA,NA,125570,Trachinidae,125570,0.12,NA,NA,52,discard,1,REF061,primary literature,NA
5,1975,1975,1975,Farne Islands,55.6167,-1.6483,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,NA,Nereididae,NA,NA,NA,22496,Nereididae,22496,0.455,NA,NA,9,stomach dead,1,REF027,primary literature,NA
5,1975,1975,1975,Farne Islands,55.6167,-1.6483,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,NA,Nereididae,NA,NA,NA,22496,Nereididae,22496,0.455,NA,NA,9,stomach dead,1,REF027,primary literature,NA
6,1975,1975,1975,Farne Islands,55.6167,-1.6483,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,NA,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.545,NA,NA,9,stomach dead,1,REF027,primary literature,NA
6,1975,1975,1975,Farne Islands,55.6167,-1.6483,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,NA,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.545,NA,NA,9,stomach dead,1,REF027,primary literature,NA
7,1983,1983,1983,East Anglia,52.5,1,Atlantic puffin,Fratercula arctica,non-breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.33,NA,NA,30,stomach dead,1,REF004,primary literature,NA
7,1983,1983,1983,East Anglia,52.5,1,Atlantic puffin,Fratercula arctica,non-breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.33,NA,NA,30,stomach dead,1,REF004,primary literature,NA
8,1983,1983,1983,East Anglia,52.5,1,Atlantic puffin,Fratercula arctica,non-breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.89,NA,NA,30,stomach dead,1,REF004,primary literature,NA
8,1983,1983,1983,East Anglia,52.5,1,Atlantic puffin,Fratercula arctica,non-breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.89,NA,NA,30,stomach dead,1,REF004,primary literature,NA
9,1983,1983,1983,East Anglia,52.5,1,Atlantic puffin,Fratercula arctica,non-breeding,adult,137131,Fratercula arctica,137131,polycheates,Polychaeta,NA,NA,NA,883,Polychaeta,883,0.11,NA,NA,30,stomach dead,1,REF004,primary literature,NA
9,1983,1983,1983,East Anglia,52.5,1,Atlantic puffin,Fratercula arctica,non-breeding,adult,137131,Fratercula arctica,137131,polycheates,Polychaeta,NA,NA,NA,883,Polychaeta,883,0.11,NA,NA,30,stomach dead,1,REF004,primary literature,NA
10,1973,1973,1973,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.86,NA,NA,NA,vis obs,1,REF016,report,NA
10,1973,1973,1973,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.86,NA,NA,NA,vis obs,1,REF016,report,NA
11,1973,1973,1973,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.07,NA,NA,NA,vis obs,1,REF016,report,NA
11,1973,1973,1973,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.07,NA,NA,NA,vis obs,1,REF016,report,NA
12,1973,1973,1973,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.93,NA,NA,NA,vis obs,1,REF016,report,NA
12,1973,1973,1973,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.93,NA,NA,NA,vis obs,1,REF016,report,NA
13,1973,1973,1973,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.05,NA,NA,NA,vis obs,1,REF016,report,NA
13,1973,1973,1973,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.05,NA,NA,NA,vis obs,1,REF016,report,NA
14,1973,1973,1973,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,vis obs,1,REF016,report,NA
14,1973,1973,1973,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,vis obs,1,REF016,report,NA
15,1974,1974,1974,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.32,NA,NA,NA,vis obs,1,REF016,report,NA
15,1974,1974,1974,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.32,NA,NA,NA,vis obs,1,REF016,report,NA
16,1974,1974,1974,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.16,NA,NA,NA,vis obs,1,REF016,report,NA
16,1974,1974,1974,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.16,NA,NA,NA,vis obs,1,REF016,report,NA
17,1974,1974,1974,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.48,NA,NA,NA,vis obs,1,REF016,report,NA
17,1974,1974,1974,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel,Ammodytidae,NA,NA,NA,125516,Ammodytidae,125516,0.48,NA,NA,NA,vis obs,1,REF016,report,NA
18,1974,1974,1974,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.5,NA,NA,NA,vis obs,1,REF016,report,NA
18,1974,1974,1974,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,clupeidae,Clupeidae,NA,NA,NA,125464,Clupeidae,125464,0.5,NA,NA,NA,vis obs,1,REF016,report,NA
19,1974,1974,1974,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,vis obs,1,REF016,report,NA
19,1974,1974,1974,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,others,Others,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,vis obs,1,REF016,report,NA
20,1975,1975,1975,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.09,NA,NA,NA,vis obs,1,REF016,report,NA
20,1975,1975,1975,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 0-group,Ammodytidae,NA,NA,0,125516,Ammodytidae,125516,0.09,NA,NA,NA,vis obs,1,REF016,report,NA
21,1975,1975,1975,Isle of May,56.19,-2.56,Atlantic puffin,Fratercula arctica,breeding,adult,137131,Fratercula arctica,137131,sandeel 1+ group,Ammodytidae,NA,NA,+1,125516,Ammodytidae,125516,0.06,NA,NA,NA,vis obs,1,REF016,report,NA
